ID,Standardize_smile,Activity,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1b,COc1ccccc1N1CCN(c2ccc3c(-c4ccccc4)nc4ccccc4n23)CC1,1,-0.35906994,0.8466623,-5.1824718,-5.7520027,-12.181621,-5.051899,-11.116447,-12.920187,-8.156965,-17.851095,27.867548,-8.466166,2.4182465,-8.041799,-9.771118,-5.0748034,-5.3754654,11.507236,-11.039748,-12.451674,-13.7174225,8.218435,-16.038471,6.1603565,0.5351669,-3.38644,-3.7417946,-7.8544407,3.5456386,5.614163,-5.9653945,18.05256,26.342361,3.1157005,-10.858165,-18.095278,12.0558195,9.917281,-13.279282,18.261093,19.190962,-12.070192,4.566602,-9.114177,-1.5158157,-17.839222,-10.015101,-0.6868837,25.521784,13.095458,14.07246,7.9185166,-3.814282,1.8059958,8.736948,13.183695,-0.98071873,-7.438338,13.20562,2.7254784,-5.408131,-2.7399216,11.372043,8.396961,2.5076318,-12.050106,-3.4681025,22.346895,-5.249679,17.843372,0.34441686,-11.815001,9.104957,-1.5099186,-15.448411,-4.523176,2.4256253,7.518083,2.510762,-21.778938,23.159025,13.705941,10.426153,-12.177038,-31.033918,19.837368,3.0580862,32.56349,-1.3184192,3.6586294,20.742237,8.305267,-5.5799074,-15.236998,11.236906,-28.407358,2.8375375,19.5945,-9.108926,-6.2608776
1e,c1ccc(CCN2CCN(c3ccc4c(-c5ccccc5)nc5ccccc5n34)CC2)cc1,1,0.48241127,0.5980743,-5.5569863,-4.6334434,-12.028146,-6.214697,-10.704016,-11.321369,-8.890302,-18.516264,28.625145,-8.332428,3.7485616,-7.7942667,-10.0758,-4.5389595,-4.1631966,10.935032,-11.054173,-13.960014,-13.013126,9.855001,-18.150232,7.2514095,-0.5376876,-2.8551438,-4.8757095,-9.179322,2.1198254,3.176834,-6.5718436,20.210554,25.332825,2.7166805,-11.07393,-17.947962,13.897793,10.812177,-12.268251,18.423115,16.692953,-12.151667,5.4810877,-9.584516,-2.3702843,-16.882576,-11.534609,-1.536678,25.448738,11.4457855,13.543573,8.970592,-2.5458083,2.514759,7.5754848,12.897025,-1.915278,-6.2050977,14.379789,1.230964,-4.091483,-4.1411405,9.705617,8.18141,3.9443917,-11.0969715,-2.6332521,21.269182,-4.480247,17.317307,0.5196258,-12.358873,7.569213,-1.2945619,-15.58173,-5.586953,2.3006697,5.328853,1.7527877,-21.357555,23.996805,11.398121,7.329057,-12.493108,-30.45316,21.27705,3.7401178,34.02668,-0.13076934,5.0617013,20.096369,9.880481,-4.1598125,-18.405733,9.981249,-28.679989,1.5258386,18.585268,-9.909207,-6.8561177
1g,Fc1cccc(CCN2CCN(c3ccc4c(-c5ccccc5)nc5ccccc5n34)CC2)c1,1,0.051644176,0.5217906,-5.889993,-4.2256937,-13.240541,-6.121188,-12.084736,-12.689851,-8.518257,-19.45171,30.01233,-8.858084,3.5175722,-7.511209,-10.427387,-4.1446023,-3.921204,11.366665,-11.12689,-13.0407,-13.518313,10.376209,-18.832407,7.767972,-0.1221036,-2.8155375,-4.7460628,-8.890657,4.078636,3.3591993,-5.722451,20.054384,26.511137,4.302221,-10.403767,-17.71741,13.467585,10.007823,-13.137764,19.810043,17.84852,-11.043131,4.823524,-9.949509,-1.8311219,-18.203201,-11.952165,-1.399103,26.138313,12.627113,13.2825165,9.560004,-2.6616776,3.4853296,9.104935,13.485062,-1.6926639,-6.18514,14.032914,0.95863605,-4.6150484,-3.183533,8.860843,7.63619,3.926603,-11.830467,-2.9203002,21.656353,-3.81603,18.693705,0.006444536,-13.280666,8.333866,-0.9985293,-16.245203,-6.72233,1.9878572,5.4931555,1.7211766,-22.075106,24.51416,11.435786,7.138403,-12.517789,-31.13267,22.635275,3.124617,35.044765,-2.268763,5.0464754,20.869598,9.390724,-4.6502085,-19.02308,10.717176,-30.420788,0.9030636,20.290354,-9.408012,-6.494341
1h,Fc1ccc(CCN2CCN(c3ccc4c(-c5ccccc5)nc5ccccc5n34)CC2)cc1,1,0.18089047,0.43494177,-5.9324,-4.058922,-13.353785,-6.2948785,-12.065608,-12.747046,-8.647792,-19.382792,29.88505,-8.826571,3.6243877,-7.441144,-10.47706,-4.057479,-3.735029,11.302574,-11.391417,-13.194598,-13.30456,10.376704,-18.849373,7.719039,-0.07997222,-2.70303,-4.6708894,-8.701714,3.9162905,3.3150876,-5.876971,20.29911,26.33278,4.3968115,-10.258036,-17.8147,13.4693,9.874763,-13.110881,19.806639,17.895164,-11.2099495,4.7475257,-9.77533,-2.157114,-18.33049,-12.042021,-1.3128046,26.24005,12.662944,13.02895,9.485488,-2.831144,3.4015183,9.067848,13.304231,-1.6299813,-6.291298,14.129044,0.81287575,-4.4307423,-3.3772256,8.912511,7.537467,4.151769,-11.860912,-2.9614816,21.748734,-3.9506557,18.843403,-0.09559532,-13.161692,8.260881,-0.8917294,-16.37903,-6.733573,1.9233736,5.3203907,1.8920048,-22.072515,24.649729,11.461214,7.0571656,-12.572954,-30.90649,22.566732,3.152167,35.17527,-2.0905993,5.141981,20.970484,9.164015,-4.427958,-19.022919,10.445883,-30.496819,0.7359387,20.384157,-9.454583,-6.6140203
1i,Clc1ccc(CCN2CCN(c3ccc4c(-c5ccccc5)nc5ccccc5n34)CC2)cc1Cl,1,0.32704267,2.0657032,-3.9727697,-4.507809,-13.894576,-5.4063735,-12.824966,-10.779983,-8.506813,-20.81185,29.001455,-9.012971,2.735847,-7.1235447,-10.370982,-4.192171,-6.18473,11.721132,-12.363329,-12.755115,-14.165874,12.026764,-17.505547,9.869113,-0.42436245,-3.6792948,-4.127577,-8.233556,2.7271378,4.028005,-7.3441277,20.68377,28.390785,7.4471374,-10.796209,-18.00179,14.811984,11.220142,-13.611622,20.927858,17.086155,-13.831883,3.6911693,-11.4799595,-0.8742286,-19.737026,-11.948351,-0.8304926,25.984444,13.028031,14.747307,9.573414,-2.7555423,4.062543,7.587732,11.65868,-1.1133918,-7.380454,13.442391,0.60877424,-3.1305194,-2.4860535,9.085688,6.7974615,3.4939594,-12.870316,-1.793627,22.896814,-3.6977394,16.957602,-1.3558242,-12.788359,10.049369,-0.6543027,-17.628391,-7.162363,2.2020755,6.2997947,1.5217696,-22.123013,24.509289,14.220249,6.8769674,-13.898569,-32.176556,22.982855,5.275061,35.23081,-1.7425225,4.720182,22.195007,10.030713,-6.08569,-17.944544,11.043135,-31.722519,1.6013716,21.819338,-10.073776,-6.5279784
1j,c1ccc(CCN2CCN(c3nc4ccccc4n4cccc34)CC2)cc1,1,0.13996223,0.3016483,-4.325048,-3.5820081,-9.237951,-5.7540374,-8.483045,-10.356085,-5.754034,-15.96345,23.667156,-6.5767455,2.7435527,-5.8572493,-8.758018,-4.4208264,-3.5985353,7.977683,-9.380279,-12.306765,-10.209229,8.715926,-13.93832,6.7920628,-0.22109792,-0.9676732,-4.246791,-7.5315294,2.8351364,2.1228101,-6.5684466,16.403034,20.802357,1.9949479,-8.708553,-14.019647,11.04891,7.2121162,-9.8850765,15.340847,13.31981,-10.123848,4.278577,-7.957828,-2.0193586,-14.19168,-8.8821125,-1.0902532,21.130173,8.799383,12.268229,7.521974,-2.4177344,3.3723626,4.5147114,8.936252,-1.3761048,-4.3815765,13.277081,-0.07085527,-3.5553563,-3.6254804,6.4961653,8.399164,1.3463984,-8.847051,-1.0280089,16.956945,-2.7873795,12.803259,0.554333,-9.943782,5.747552,-1.4796565,-12.459409,-4.208202,1.908272,3.8419583,0.17030144,-17.769411,18.653166,9.090019,6.0118456,-10.909621,-26.895184,19.202164,2.3709235,27.934734,-1.4951242,4.3461776,16.141289,8.037046,-3.6078434,-15.128594,7.444471,-24.052814,1.8382777,14.159825,-8.676365,-5.0148883
1k,Clc1ccc(CCN2CCN(c3nc4ccccc4n4cccc34)CC2)cc1Cl,1,-0.015406355,1.769277,-2.7408311,-3.4563737,-11.1043825,-4.9457145,-10.603996,-9.814698,-5.370546,-18.259033,24.043467,-7.2572875,1.7308382,-5.186527,-9.053201,-4.0740385,-5.6200676,8.763783,-10.689435,-11.101866,-11.361976,10.887688,-13.293631,9.409766,-0.107772745,-1.7918241,-3.4986596,-6.5857625,3.4424493,2.9739811,-7.340731,16.87625,23.860317,6.725405,-8.430835,-14.073471,11.963101,7.6200824,-11.228447,17.845592,13.713014,-11.804067,2.4886544,-9.853271,-0.52330303,-17.046127,-9.295855,-0.38406795,21.665878,10.381631,13.471961,8.124794,-2.6274683,4.9201465,4.5269585,7.697903,-0.57421863,-5.556931,12.339682,-0.69304514,-2.5943928,-1.9703934,5.876238,7.0152154,0.8959662,-10.620394,-0.18838403,18.584574,-2.004872,12.443556,-1.321117,-10.373266,8.227709,-0.8393983,-14.506071,-5.7836113,1.8096778,4.8129,-0.06071675,-18.53487,19.165651,11.9121475,5.5597563,-12.315081,-28.618578,20.907969,3.905867,29.138857,-3.1068778,4.004658,18.239925,8.187279,-5.533722,-14.667405,8.506357,-27.095346,1.9138106,17.393894,-8.840934,-4.6867495
1l,FC(F)(F)c1ccccc1CCN1CCN(c2nc3ccccc3n3cccc23)CC1,1,-0.27960595,0.5279648,-5.1849647,1.2436984,-10.571164,-6.275151,-10.461002,-11.623832,-4.8458614,-19.220306,28.069796,-9.728625,2.613637,-7.823026,-11.585728,-4.693631,-4.4305305,9.143486,-9.994947,-10.636201,-14.552146,8.288937,-19.2707,7.3520427,2.2452536,-3.752466,-6.6861777,-5.981155,7.0988226,2.4631312,-5.390334,14.352056,25.950891,4.801882,-6.7241306,-14.637789,10.821374,5.9511366,-12.551434,20.119963,17.325665,-10.634306,7.5717373,-10.646473,1.1506317,-17.892237,-8.913668,-0.5233804,23.85747,13.563345,12.007117,10.9279375,-2.044128,3.979928,4.632981,11.549575,-2.2820117,-3.8066177,13.644818,-2.3402195,-5.8100305,-1.2627819,3.4983335,5.553803,-0.48170447,-8.266199,-3.7060685,17.471115,-4.123995,18.353903,-1.1721792,-12.624958,8.677795,0.1658329,-13.046434,-6.109357,1.4273278,3.3297443,-0.20470838,-22.181105,22.17986,11.752208,5.0358744,-12.606377,-30.53383,23.64317,1.7008862,31.135395,-5.1827383,3.8790483,19.446907,7.682012,-7.2943177,-18.519197,6.0986805,-29.647104,-0.89665115,16.391756,-8.515238,-6.8381925
1m,Fc1ccccc1CCN1CCN(c2nc3ccccc3n3cccc23)CC1,1,-0.32507274,-0.17007574,-4.4329906,-3.2978413,-10.404623,-5.970006,-9.317689,-11.533756,-5.1367264,-16.9081,24.6839,-6.9616814,2.4235473,-6.094626,-8.929868,-4.1924944,-3.5811515,8.49455,-9.41269,-11.514195,-11.001436,9.301064,-14.747944,7.263597,0.05913908,-1.4513898,-4.1370993,-7.66447,4.656434,2.0971892,-5.968031,15.980511,22.347282,3.352069,-8.335507,-13.556841,11.055829,6.8672285,-10.595913,16.68522,14.431323,-9.459053,3.562521,-8.651817,-1.6991343,-15.257263,-8.898463,-0.7882906,22.042437,9.4354105,11.913941,8.3088455,-2.4675422,4.5032425,5.8337636,9.397595,-1.9911164,-4.292015,13.157196,-0.51094425,-4.0448637,-2.7379973,5.6925435,7.8940287,1.4638085,-9.275157,-0.9261095,17.4939,-2.2554517,13.874784,-0.29154813,-11.209651,6.396626,-1.4589732,-12.959063,-5.5322247,2.0993617,4.2416277,-0.32977045,-18.45945,19.122608,9.567177,5.952482,-10.990269,-27.88569,20.752605,1.585252,28.671165,-3.700756,4.0529838,16.572643,7.6392646,-4.661507,-15.7851095,7.7175913,-25.694035,1.2684633,15.605465,-8.435389,-4.883993
1n,Fc1cccc(CCN2CCN(c3nc4ccccc4n4cccc34)CC2)c1,1,-0.29080486,0.2253645,-4.658055,-3.1742578,-10.450348,-5.660529,-9.863766,-11.724566,-5.381989,-16.898893,25.05434,-7.1024017,2.5125635,-5.57419,-9.109604,-4.0264707,-3.356542,8.409317,-9.452997,-11.387451,-10.714416,9.237133,-14.620496,7.3086247,0.19448617,-0.92806643,-4.117144,-7.242863,4.793948,2.3051753,-5.719055,16.246866,21.980673,3.5804892,-8.038391,-13.789091,10.6187,6.407762,-10.754589,16.727776,14.475375,-9.015314,3.6210122,-8.322821,-1.4801965,-15.512304,-9.299668,-0.9526783,21.819748,9.980712,12.007171,8.111387,-2.5336034,4.342933,6.044163,9.524288,-1.1534908,-4.361619,12.930203,-0.3431833,-4.0789223,-2.667873,5.6513925,7.8539443,1.3286097,-9.580545,-1.3150576,17.344112,-2.1231623,14.179657,0.04115159,-10.865575,6.512204,-1.1836251,-13.122883,-5.3435783,1.5954598,4.006261,0.13869023,-18.486967,19.170523,9.127684,5.821191,-10.9343,-27.574694,20.56039,1.755422,28.95281,-3.6331177,4.330952,16.914516,7.547288,-4.0982404,-15.745939,8.180398,-25.793615,1.2155024,15.864913,-8.17517,-4.653112
