ID,Scaffold,Activity,Canonicalsmiles
84,O=C(c1ccccc1)c1cnc2[nH]c(=O)cc(-c3ccccc3)c2c1,0,O=C(c1ccccc1)c1cnc2[nH]c(=O)cc(-c3ccccc3)c2c1
85,c1nncs1,0,c1nncs1
86,O=C1OCOC(=O)C1=NNc1ccccc1,0,O=C1OCOC(=O)C1=NNc1ccccc1
87,O=C(c1ccccc1)N1CC2C=CC1C2,0,O=C(c1ccccc1)N1CC2C=CC1C2
88,O=c1[nH]c(=O)n(Cc2ccccc2)c2ccccc12,0,O=c1[nH]c(=O)n(Cc2ccccc2)c2ccccc12
89,c1ccsc1,0,c1ccsc1
90,O=C(Oc1ccccc1C=CC(=O)c1cc2ccccc2o1)c1ccccc1,0,O=C(Oc1ccccc1C=CC(=O)c1cc2ccccc2o1)c1ccccc1
91,O=C(CCC(=O)N(CC(=O)NC1CCCC1)Cc1ccccc1)Nc1ccon1,0,O=C(CCC(=O)N(CC(=O)NC1CCCC1)Cc1ccccc1)Nc1ccon1
92,O=c1[nH]c2cc3c(cc2cc1CNCc1ccccc1)OCO3,0,O=c1[nH]c2cc3c(cc2cc1CNCc1ccccc1)OCO3
93,C(=Cc1ccc2ccccc2[nH+]1)c1ccn(-c2ccccc2)c1,0,C(=Cc1ccc2ccccc2[nH+]1)c1ccn(-c2ccccc2)c1
94,c1ccc(Cn2cccc2)cc1,0,c1ccc(Cn2cccc2)cc1
95,O=C1C=CC(=O)N1c1cccc(-c2ccccc2)c1,0,O=C1C=CC(=O)N1c1cccc(-c2ccccc2)c1
96,O=C(COc1ccc(C=NNC(=O)CSCc2ccccc2)cc1)NCc1ccco1,0,O=C(COc1ccc(C=NNC(=O)CSCc2ccccc2)cc1)NCc1ccco1
97,O=C(NN=Cc1ccccc1)c1nnn(-c2cnon2)c1CN1CCCCC1,0,O=C(NN=Cc1ccccc1)c1nnn(-c2cnon2)c1CN1CCCCC1
98,C(=C1Nc2ccccc2S1)c1cccc[nH+]1,0,C(=C1Nc2ccccc2S1)c1cccc[nH+]1
99,O=C(NN=Cc1ccc2c(c1)OCO2)c1nnn(-c2cnon2)c1CSc1ccccc1,0,O=C(NN=Cc1ccc2c(c1)OCO2)c1nnn(-c2cnon2)c1CSc1ccccc1
100,O=c1cc(CSc2nnc(-c3cccnc3)n2-c2ccccc2)c2c(ccc3ccccc32)o1,0,O=c1cc(CSc2nnc(-c3cccnc3)n2-c2ccccc2)c2c(ccc3ccccc32)o1
101,O=C1OCCC1=Cc1ccccc1,0,O=C1OCCC1=Cc1ccccc1
102,S=c1[nH]nc(-c2ccsc2)[nH]1,0,S=c1[nH]nc(-c2ccsc2)[nH]1
103,O=C(CSc1nnc2c3c4c(sc3ncn12)CCCC4)NCc1ccco1,0,O=C(CSc1nnc2c3c4c(sc3ncn12)CCCC4)NCc1ccco1
104,c1ccc(-n2cncn2)cc1,0,c1ccc(-n2cncn2)cc1
105,O=C(C[n+]1cc(-c2ccccc2)n2c1CCC2)OCc1ccccc1,0,O=C(C[n+]1cc(-c2ccccc2)n2c1CCC2)OCc1ccccc1
106,O=C(Cn1ccc2ccccc21)Nc1ccc2c(c1)OCO2,0,O=C(Cn1ccc2ccccc21)Nc1ccc2c(c1)OCO2
107,O=C(Nc1cc(S(=O)(=O)N2CCOCC2)ccc1N1CCOCC1)c1cc(-c2ccccc2)nc2ccccc12,0,O=C(Nc1cc(S(=O)(=O)N2CCOCC2)ccc1N1CCOCC1)c1cc(-c2ccccc2)nc2ccccc12
108,N=c1c(C(=O)NCc2ccco2)cc2c(=O)n3ccccc3nc2n1CCc1ccccc1,0,N=c1c(C(=O)NCc2ccco2)cc2c(=O)n3ccccc3nc2n1CCc1ccccc1
109,O=C(C=Cc1ccccc1)CC(=O)C=Cc1ccccc1,0,O=C(C=Cc1ccccc1)CC(=O)C=Cc1ccccc1
110,O=C(NN=Cc1ccccc1)c1ccccc1,0,O=C(NN=Cc1ccccc1)c1ccccc1
111,c1ccc2scnc2c1,0,c1ccc2scnc2c1
112,O=C(CCC(=O)N(Cc1ccccc1)c1ccccc1)Nc1ccon1,0,O=C(CCC(=O)N(Cc1ccccc1)c1ccccc1)Nc1ccon1
